Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
rekrute,data analyst,dataanalystCDD,AXA Services Maroc,Rabat (Maroc),/offre-emploi-data-analyst-cdd-recrutement-axa-services-maroc-rabat-173841.html,"python, r, sql"
rekrute,data analyst,Stagiaire Businessanalyst(H/F),Groupe Label'Vie - Carrefour,Casablanca (Maroc),/offre-emploi-stagiaire-business-analyst-hf-recrutement-groupe-labelvie---carrefour-casablanca-174264.html,excel
rekrute,data analyst,Businessanalystdata– Spécialisation Finance,Inetum,Casablanca (Maroc),/offre-emploi-business-analyst-data-specialisation-finance-recrutement-inetum-casablanca-173100.html,"azure, power bi"
rekrute,data analyst,Businessanalyst,Groupe Label'Vie - Carrefour,Casablanca (Maroc),/offre-emploi-business-analyst-recrutement-groupe-labelvie---carrefour-casablanca-172907.html,
rekrute,data analyst,Stagiairedataanalyst/ Engineer,Orange Business,Rabat (Maroc),/offre-emploi-stagiaire-data-analyst-engineer-recrutement-orange-business-rabat-174186.html,"deep learning, docker, excel, git, hadoop, keras, pandas, power bi, python, spark, sql, tensorflow"
rekrute,data analyst,analyste Investisseurs & Marketdata,Bourse de Casablanca,Casablanca (Maroc),/offre-emploi-analyste-investisseurs-market-data-recrutement-bourse-de-casablanca-casablanca-173379.html,
rekrute,data analyst,Businessanalyst,Orange Business,Rabat (Maroc),/offre-emploi-business-analyst-recrutement-orange-business-rabat-172475.html,"agile, docker, linux, mongodb, oracle, postgresql, scrum, sql"
rekrute,data analyst,Accountantanalyst(CDD),AXA GBS Morocco,Rabat (Maroc),/offre-emploi-accountant-analyst-cdd-recrutement-axa-gbs-morocco-rabat-173277.html,"excel, power bi"
rekrute,data analyst,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r"
rekrute,data analyst,dataanalyst,FMPS  - Fondation Marocaine du Préscolaire,Rabat (Maroc),/offre-emploi-data-analyst-recrutement-fmps---fondation-marocaine-du-prescolaire-rabat-173068.html,
rekrute,data analyst,Dév pythondataanalyst/ Scientist,BTechnologie,Rabat (Maroc),/offre-emploi-dev-python-data-analyst-scientist-recrutement-btechnologie-rabat-173025.html,"agile, git, power bi, python, sql"
rekrute,data analyst,OTCanalyst,HCLTech,"Rabat, Rabat-Salé-Kénitra, Morocco (Maroc)",/offre-emploi-otc-analyst-recrutement-hcltech-rabat-rabat-sale-kenitra-morocco-172727.html,spark
rekrute,data analyst,Product Marketinganalyst(H-F),Sorec,Rabat (Maroc),/offre-emploi-product-marketing-analyst-h-f-recrutement-sorec-rabat-172536.html,
rekrute,data scientist,Researchscientistin Digital Twins - Operational Technology,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-research-scientist-in-digital-twins---operational-technology-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-174257.html,"aws, azure, google cloud, machine learning"
rekrute,data scientist,dataEngineer KPI BOOK,ALTEN Maroc,Fès (Maroc),/offre-emploi-data-engineer-kpi-book-recrutement-alten-maroc-fes-174091.html,"excel, javascript, mongodb, python, react"
rekrute,data scientist,datascientist(H/F),Sofrecom Maroc,Rabat (Maroc),/offre-emploi-data-scientist-hf-recrutement-sofrecom-maroc-rabat-173796.html,"machine learning, nosql, power bi, python, r, scikit-learn, sql, tableau, tensorflow"
rekrute,data scientist,Researchscientistin Complex Systems,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-complex-systems-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173768.html,python
rekrute,data scientist,ResearchscientistindataScience & Machine Learning,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-data-science-machine-learning-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173769.html,"deep learning, machine learning, pandas, pytorch, scikit-learn, spark, tensorflow"
rekrute,data scientist,Researchscientistin Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python"
rekrute,data scientist,datascientist& AI Engineer H/F,ALTEN Maroc,Fès (Maroc),/offre-emploi-data-scientist-ai-engineer-hf-recrutement-alten-maroc-fes-173506.html,"deep learning, machine learning, matplotlib, pandas, power bi, python, pytorch, scikit-learn, tensorflow"
rekrute,data scientist,datascientist,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql"
rekrute,data scientist,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r"
rekrute,data scientist,Dév pythondataAnalyst /scientist,BTechnologie,Rabat (Maroc),/offre-emploi-dev-python-data-analyst-scientist-recrutement-btechnologie-rabat-173025.html,"agile, git, power bi, python, sql"
rekrute,data engineer,Roku Smart TV Application Developer,Cnexia tech,Rabat (Maroc),/offre-emploi-roku-smart-tv-application-developer-recrutement-cnexia-tech-rabat-174275.html,"agile, ci/cd, git, graphql, rest api, scrum"
rekrute,data engineer,Android Developer,Cnexia tech,Rabat (Maroc),/offre-emploi-android-developer-recrutement-cnexia-tech-rabat-174272.html,"agile, git, graphql, java, scrum, sql"
rekrute,data engineer,QA Program Manager,Cnexia tech,Fes (Maroc),/offre-emploi-qa-program-manager-recrutement-cnexia-tech-fes-174274.html,agile
rekrute,data engineer,Research Scientist in Digital Twins - Operational Technology,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-research-scientist-in-digital-twins---operational-technology-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-174257.html,"aws, azure, google cloud, machine learning"
rekrute,data engineer,StagiairedataAnalyst /engineer,Orange Business,Rabat (Maroc),/offre-emploi-stagiaire-data-analyst-engineer-recrutement-orange-business-rabat-174186.html,"deep learning, docker, excel, git, hadoop, keras, pandas, power bi, python, spark, sql, tensorflow"
rekrute,data engineer,dataengineerKPI BOOK,ALTEN Maroc,Fès (Maroc),/offre-emploi-data-engineer-kpi-book-recrutement-alten-maroc-fes-174091.html,"excel, javascript, mongodb, python, react"
rekrute,data engineer,dataengineer,Orange Business,Rabat (Maroc),/offre-emploi-data-engineer-recrutement-orange-business-rabat-174007.html,
rekrute,data engineer,Géologue Spécialiste en Géologie Structurale,Aya Gold & Silver,Taliouine (Maroc),/offre-emploi-geologue-specialiste-en-geologie-structurale-recrutement-aya-gold-silver-taliouine-173830.html,
rekrute,data engineer,Project Management Business Partner,Capgemini Engineering,Casablanca (Maroc),/offre-emploi-project-management-business-partner-recrutement-capgemini-engineering-casablanca-173806.html,power bi
rekrute,data engineer,Senior Business Intelligence Consultant / BI Lead,Leyton,Casablanca (Maroc),/offre-emploi-senior-business-intelligence-consultant-bi-lead-recrutement-leyton-casablanca-173535.html,"agile, excel, power bi, python, r, sql, tableau"
rekrute,data engineer,Research Scientist in Complex Systems,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-complex-systems-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173768.html,python
rekrute,data engineer,Research Scientist indataScience & Machine Learning,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-data-science-machine-learning-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173769.html,"deep learning, machine learning, pandas, pytorch, scikit-learn, spark, tensorflow"
rekrute,data engineer,Research Scientist in Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python"
rekrute,data engineer,Researchengineerin Industrial Systems and Smart Logistics,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-industrial-systems-and-smart-logistics-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173766.html,"python, r, sql"
rekrute,data engineer,Researchengineerin Sustainability Systems and Health-Environment Modeling,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-sustainability-systems-and-health-environment-modeling-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173764.html,"python, r"
rekrute,data engineer,Business Analyst,Orange Business,Rabat (Maroc),/offre-emploi-business-analyst-recrutement-orange-business-rabat-172475.html,"agile, docker, linux, mongodb, oracle, postgresql, scrum, sql"
rekrute,data engineer,Researchengineerin AI & Remote Sensing,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-ai-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173661.html,"deep learning, pytorch, tensorflow"
rekrute,data engineer,ExpertdataIKU,Capgemini Engineering,Casablanca (Maroc),/offre-emploi-expert-dataiku-recrutement-capgemini-engineering-casablanca-173525.html,"pandas, power bi, python, scikit-learn, sql, tableau"
rekrute,data engineer,dataScientist & AIengineerH/F,ALTEN Maroc,Fès (Maroc),/offre-emploi-data-scientist-ai-engineer-hf-recrutement-alten-maroc-fes-173506.html,"deep learning, machine learning, matplotlib, pandas, power bi, python, pytorch, scikit-learn, tensorflow"
rekrute,data engineer,engineerDeveloper (Machine Learning/AI &dataScience),UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-engineer-developer-machine-learningai-data-science-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173393.html,"machine learning, python"
rekrute,data engineer,dataScientist,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql"
rekrute,data engineer,Ingénieur Core Network Voix/data,Capgemini Engineering,Casablanca (Maroc),/offre-emploi-ingenieur-core-network-voixdata-recrutement-capgemini-engineering-casablanca-173251.html,
rekrute,data engineer,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r"
rekrute,data engineer,Développeur IA / Machine Learningengineer(H/F),Its Provider,Casablanca (Maroc),/offre-emploi-developpeur-ia-machine-learning-engineer-hf-recrutement-its-provider-casablanca-172592.html,"ci/cd, machine learning, nlp, python, pytorch"
rekrute,data engineer,dataengineer(H/F),Sofrecom Maroc,Casablanca (Maroc),/offre-emploi-data-engineer-hf-recrutement-sofrecom-maroc-casablanca-172966.html,"agile, google cloud, machine learning, python"
rekrute,web developer,Androiddeveloper,Cnexia tech,Rabat (Maroc),/offre-emploi-android-developer-recrutement-cnexia-tech-rabat-174272.html,"agile, git, graphql, java, scrum, sql"
rekrute,web developer,ServiceNowdeveloper,Inetum,Casablanca (Maroc),/offre-emploi-servicenow-developer-recrutement-inetum-casablanca-173096.html,javascript
rekrute,web developer,Développeur ServiceNow,ALTEN Maroc,Rabat (Maroc),/offre-emploi-developpeur-servicenow-recrutement-alten-maroc-rabat-172420.html,"agile, ci/cd, javascript"
rekrute,software engineer,QA Program Manager,Cnexia tech,Fes (Maroc),/offre-emploi-qa-program-manager-recrutement-cnexia-tech-fes-174274.html,agile
rekrute,software engineer,Géologue Spécialiste en Géologie Structurale,Aya Gold & Silver,Taliouine (Maroc),/offre-emploi-geologue-specialiste-en-geologie-structurale-recrutement-aya-gold-silver-taliouine-173830.html,
rekrute,software engineer,Senior Automationsoftwareengineer,Leyton,Casablanca (Maroc),/offre-emploi-senior-automation-software-engineer-recrutement-leyton-casablanca-173539.html,"azure, ci/cd, git, nlp, python"
rekrute,software engineer,Automationsoftwareengineer- AI specialization,Leyton,Casablanca (Maroc),/offre-emploi-automation-software-engineer---ai-specialization-recrutement-leyton-casablanca-173540.html,"azure, ci/cd, git, nlp, pandas, python, scikit-learn"
rekrute,software engineer,Research Scientist in Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python"
rekrute,software engineer,Researchengineerin Systemsengineering,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-systems-engineering-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173765.html,
rekrute,software engineer,Researchengineerin Industrial Systems and Smart Logistics,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-industrial-systems-and-smart-logistics-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173766.html,"python, r, sql"
rekrute,software engineer,Researchengineerin Sustainability Systems and Health-Environment Modeling,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-sustainability-systems-and-health-environment-modeling-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173764.html,"python, r"
rekrute,software engineer,Mobile Coreengineer,Orange Business,Rabat (Maroc),/offre-emploi-mobile-core-engineer-recrutement-orange-business-rabat-173756.html,
rekrute,software engineer,Architecte core mobile,Orange Business,Rabat (Maroc),/offre-emploi-architecte-core-mobile-recrutement-orange-business-rabat-173755.html,
rekrute,software engineer,Project Manager Core Mobile,Orange Business,Rabat (Maroc),/offre-emploi-project-manager-core-mobile-recrutement-orange-business-rabat-172470.html,
rekrute,software engineer,Requirementengineer- garmanophone,ALTEN Maroc,Rabat (Maroc),/offre-emploi-requirement-engineer---garmanophone-recrutement-alten-maroc-rabat-173558.html,
rekrute,software engineer,Purchaser,Al Akhawayn University,Ifrane (Maroc),/offre-emploi-purchaser-recrutement-al-akhawayn-university-ifrane-173492.html,
rekrute,software engineer,engineerDeveloper (Machine Learning/AI & Data Science),UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-engineer-developer-machine-learningai-data-science-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173393.html,"machine learning, python"
rekrute,software engineer,Project Management Officer,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-project-management-officer-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173312.html,
rekrute,software engineer,Data Scientist,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql"
rekrute,software engineer,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r"
rekrute,software engineer,Vehicle Testengineer(H/F),ALTEN Maroc,Rabat (Maroc),/offre-emploi-vehicle-test-engineer-hf-recrutement-alten-maroc-rabat-173005.html,"agile, excel, scrum"
rekrute,software engineer,"Senior Scientist in Mechanicalengineering and Energy Systems  ACER-CoE (UM6P, Benguerir)",UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-senior-scientist-in-mechanical-engineering-and-energy-systems-acer-coe-um6p-benguerir-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-172677.html,
rekrute,software engineer,Researchengineerin Geophysics and soil mapping,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-research-engineer-in-geophysics-and-soil-mapping-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-172671.html,
rekrute,software engineer,CoreLabengineer,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-corelab-engineer-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-172665.html,excel
rekrute,software engineer,Submit Your Spontaneous Application and Join Stellantis !,Stellantis,Casablanca (Maroc),/offre-emploi-submit-your-spontaneous-application-and-join-stellantis-recrutement-stellantis-casablanca-168605.html,
